id,value
11,0
111,0
137,0
140,0
143,0
154,0
155,0
164,0
170,0
179,0
182,0
185,0
195,0
207,0
250,0
260,0
263,0
269,0
271,0
278,0
287,0
306,0
131,8
132,8
142,8
148,8
151,8
152,8
174,8
183,8
77,9
79,9
94,9
159,9
175,9
184,9
192,9
135,10
193,10
309,10
18,11
20,11
114,11
160,11
165,11
167,11
191,11
224,11
51,13
178,13
186,13
76,14
177,14
203,14
239,14
290,14
134,15
41,17
48,17
156,17
240,17
63,18
128,18
5,20
43,20
55,20
57,20
66,20
124,20
188,20
194,20
208,20
22,22
40,22
133,22
288,22
33,25
122,25
149,25
200,25
209,25
218,25
237,25
238,25
241,25
321,25
304,27
197,29
323,29
58,31
28,33
120,33
145,33
190,33
230,33
247,33
286,33
335,33
232,40
236,40
255,43
12,50
248,50
337,63
